date,AK,AL,AR,AZ,CA,CO,CT,DE,GA,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VA,VT,WA,WI,WV,WY
2016-11-07,2.780544,6.119934,4.838439,6.119934,5.498744,5.332452,4.129959,5.332452,6.119934,2.087954,3.790082,4.078257,4.129959,5.332452,5.332452,5.498744,7.135733,3.790082,5.332452,4.078257,4.078257,4.117849,5.332452,6.119934,4.117849,4.838439,4.117849,4.129959,4.078257,4.129959,4.838439,5.332452,3.790082,4.129959,4.838439,4.078257,4.129959,4.129959,6.119934,4.078257,4.838439,7.135733,5.332452,5.498744,4.078257,4.117849,4.078257,5.332452,3.790082
2016-11-08,3.235572,3.493495,3.321908,3.493495,5.201445,5.120519,3.589898,5.120519,3.493495,3.797345,3.639495,4.247367,3.589898,5.120519,5.120519,5.201445,4.300302,3.639495,5.120519,4.247367,4.247367,4.372320,5.120519,3.493495,4.372320,3.321908,4.372320,3.589898,4.247367,3.589898,3.321908,5.120519,3.639495,3.589898,3.321908,4.247367,3.589898,3.589898,3.493495,4.247367,3.321908,4.300302,5.120519,5.201445,4.247367,4.372320,4.247367,5.120519,3.639495
2016-11-09,3.323652,3.503774,4.257822,3.503774,6.218594,5.827044,3.945130,5.827044,3.503774,2.713803,4.170224,5.128716,3.945130,5.827044,5.827044,6.218594,3.533365,4.170224,5.827044,5.128716,5.128716,5.543955,5.827044,3.503774,5.543955,4.257822,5.543955,3.945130,5.128716,3.945130,4.257822,5.827044,4.170224,3.945130,4.257822,5.128716,3.945130,3.945130,3.503774,5.128716,4.257822,3.533365,5.827044,6.218594,5.128716,5.543955,5.128716,5.827044,4.170224
2016-11-10,3.704051,5.865783,6.767660,5.865783,6.564291,5.539069,4.189759,5.539069,5.865783,3.083422,4.722576,5.679806,4.189759,5.539069,5.539069,6.564291,4.650466,4.722576,5.539069,5.679806,5.679806,6.003131,5.539069,5.865783,6.003131,6.767660,6.003131,4.189759,5.679806,4.189759,6.767660,5.539069,4.722576,4.189759,6.767660,5.679806,4.189759,4.189759,5.865783,5.679806,6.767660,4.650466,5.539069,6.564291,5.679806,6.003131,5.679806,5.539069,4.722576
2016-11-11,4.520833,6.029460,5.622246,6.029460,6.207981,5.956215,4.803822,5.956215,6.029460,4.449931,4.433455,4.834626,4.803822,5.956215,5.956215,6.207981,5.288496,4.433455,5.956215,4.834626,4.834626,4.737861,5.956215,6.029460,4.737861,5.622246,4.737861,4.803822,4.834626,4.803822,5.622246,5.956215,4.433455,4.803822,5.622246,4.834626,4.803822,4.803822,6.029460,4.834626,5.622246,5.288496,5.956215,6.207981,4.834626,4.737861,4.834626,5.956215,4.433455
2016-11-12,4.662816,4.606013,5.749080,4.606013,6.528406,5.996753,4.893287,5.996753,4.606013,4.619771,4.466233,5.289608,4.893287,5.996753,5.996753,6.528406,4.482306,4.466233,5.996753,5.289608,5.289608,5.647131,5.996753,4.606013,5.647131,5.749080,5.647131,4.893287,5.289608,4.893287,5.749080,5.996753,4.466233,4.893287,5.749080,5.289608,4.893287,4.893287,4.606013,5.289608,5.749080,4.482306,5.996753,6.528406,5.289608,5.647131,5.289608,5.996753,4.466233
2016-11-13,4.497181,3.532446,5.435431,3.532446,6.567476,6.513515,5.505970,6.513515,3.532446,3.507691,5.426137,5.623754,5.505970,6.513515,6.513515,6.567476,3.572513,5.426137,6.513515,5.623754,5.623754,5.500630,6.513515,3.532446,5.500630,5.435431,5.500630,5.505970,5.623754,5.505970,5.435431,6.513515,5.426137,5.505970,5.435431,5.623754,5.505970,5.505970,3.532446,5.623754,5.435431,3.572513,6.513515,6.567476,5.623754,5.500630,5.623754,6.513515,5.426137
2016-11-14,4.691527,4.216518,5.399530,4.216518,6.771124,6.144422,4.245415,6.144422,4.216518,3.251398,4.084291,4.312023,4.245415,6.144422,6.144422,6.771124,3.599946,4.084291,6.144422,4.312023,4.312023,4.233736,6.144422,4.216518,4.233736,5.399530,4.233736,4.245415,4.312023,4.245415,5.399530,6.144422,4.084291,4.245415,5.399530,4.312023,4.245415,4.245415,4.216518,4.312023,5.399530,3.599946,6.144422,6.771124,4.312023,4.233736,4.312023,6.144422,4.084291
2016-11-15,4.361590,5.317401,6.213758,5.317401,6.835742,6.094598,4.034061,6.094598,5.317401,3.673731,3.684819,4.350796,4.034061,6.094598,6.094598,6.835742,4.717804,3.684819,6.094598,4.350796,4.350796,5.647689,6.094598,5.317401,5.647689,6.213758,5.647689,4.034061,4.350796,4.034061,6.213758,6.094598,3.684819,4.034061,6.213758,4.350796,4.034061,4.034061,5.317401,4.350796,6.213758,4.717804,6.094598,6.835742,4.350796,5.647689,4.350796,6.094598,3.684819
2016-11-16,3.233237,5.060131,6.200772,5.060131,6.680359,5.857970,4.213984,5.857970,5.060131,5.530200,4.366170,5.317801,4.213984,5.857970,5.857970,6.680359,4.601150,4.366170,5.857970,5.317801,5.317801,6.493764,5.857970,5.060131,6.493764,6.200772,6.493764,4.213984,5.317801,4.213984,6.200772,5.857970,4.366170,4.213984,6.200772,5.317801,4.213984,4.213984,5.060131,5.317801,6.200772,4.601150,5.857970,6.680359,5.317801,6.493764,5.317801,5.857970,4.366170
